Plan;Cost;Origin
Plan: Aquarium pillar;70;AC:Boardwalk Paradise
Plan: Aquarium whale display;80;AC:Boardwalk Paradise
Plan: Atlantic City card tables;70;AC:Boardwalk Paradise
Plan: Atlantic City dice table;70;AC:Boardwalk Paradise
Plan: Atlantic City mechanical derby game;90;AC:Boardwalk Paradise
Plan: Atlantic City roulette table;90;AC:Boardwalk Paradise
Plan: Atlantic City sign;80;AC:Boardwalk Paradise
Plan: Atlantic City slot machines;90;AC:Boardwalk Paradise
Plan: Fanatic barricade;70;The Pitt
Plan: Game Show sign;80;AC:America's Playground
Plan: Lesser Devil plushies;90;AC:Boardwalk Paradise
Plan: Mezzanine lights;80;AC:Boardwalk Paradise
Plan: Neopolitan exterior sign;80;AC:Boardwalk Paradise
Plan: Nightclub exterior sign;80;AC:Boardwalk Paradise
Plan: Pittsburgh industrial floodlight kit;80;The Pitt
Plan: Pittsburgh street kit;90;The Pitt
Plan: Quentino's sign;70;AC:Boardwalk Paradise
Plan: Sea animal pillars;70;AC:Boardwalk Paradise
Plan: Slot machine podiums;30;AC:Boardwalk Paradise
Plan: The Pitt city limit signs;70;The Pitt
Plan: Trog tube;90;The Pitt
Plan: Union 42 banners;70;The Pitt
Plan: World's biggest slot machine;90;AC:Boardwalk Paradise
